"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","keeps production coverage scoped away from test helpers","Unit | Jest Lane Configs","2026-07-15","passed","2026-07-15","","","",""
"","1","falls back to request names when collection ids are unavailable","Unit | Scripts | GitHub | Write Newman Summary","2026-07-15","passed","2026-07-15","","","",""
"","6","returns 404 for unregistered paths","Integration | API","2026-07-15","passed","2026-07-15","","unknown routes","",""
"","2","writes source-run fields to GitHub outputs","Unit | Scripts | GitHub | Resolve Pages Source Run","2026-07-15","passed","2026-07-15","","","",""
"","7","runs harden-runner in audit mode as the first step of secret-bearing jobs","Unit | Scripts | GitHub | Workflow Hardening","2026-07-15","passed","2026-07-15","","","",""
"","87","rejects a link to a heading that does not exist","Unit | Scripts | Docs | Validate Docs","2026-07-15","passed","2026-07-15","","internal links and anchors","",""
"","1","returns 404 when the job does not exist","Unit | Controllers | Description Controller","2026-07-15","passed","2026-07-15","","DescriptionController.getDescriptionJob","",""
"","1","starts clustered mode only from the primary process","Unit | Server | Runtime Bootstrap","2026-07-15","passed","2026-07-15","","","",""
"","55","reports empty files, CRLF, and merge-conflict markers","Unit | Scripts | Docs | Validate Docs","2026-07-15","passed","2026-07-15","","","",""
"","1","does not exempt .github paths outside assets/","Unit | Scripts | CI | Classify Changed Paths","2026-07-15","passed","2026-07-15","","isDocsPath","",""
"","1","supports caller-provided image resolvers for page job orchestration","Unit | Services | Page Description Service","2026-07-15","passed","2026-07-15","","","",""
"","12","copies the latest valid history artifact into the results directory","Unit | Allure History Artifact Restore","2026-07-15","passed","2026-07-15","","","",""
"","0","preserves array order and canonicalizes objects nested in arrays","Unit | Scripts | OpenAPI | Freshness Check","2026-07-15","passed","2026-07-15","","canonicalizeSpec","",""
"","1","keeps secret-bearing environment variables unsynced from the repo","Unit | Render Deploy Config","2026-07-15","passed","2026-07-15","","","",""
"","2","throws when a required check is missing success","Unit | Scripts | GitHub | Promote To Production","2026-07-15","passed","2026-07-15","","ensureRequiredChecksGreen","",""
"","1","does not declare TLS credentials the service never reads","Unit | Render Deploy Config","2026-07-15","passed","2026-07-15","","","",""
"","1","appends key-value outputs to the configured file","Unit | Scripts | GitHub | Parse Security Audit Report","2026-07-15","passed","2026-07-15","","appendOutput","",""
"","3","creates a scoped installation token for the repository","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-07-15","passed","2026-07-15","","createInstallationAccessToken","",""
"","1","plans a force reset when the SHAs differ","Unit | Scripts | GitHub | Rollback Production","2026-07-15","passed","2026-07-15","","deriveRollbackPlan","",""
"","2","builds raw GitHub urls for the default repository and ref","Unit | Scripts | Postman | Provider Validation Public Fixtures","2026-07-15","passed","2026-07-15","","","",""
"","1","looks up workflow_dispatch source context from the GitHub API","Unit | Scripts | GitHub | Resolve Pages Source Run","2026-07-15","passed","2026-07-15","","","",""
"","13","rejects non-boolean dry-run values","Unit | Scripts | Render | Rollback Render Service","2026-07-15","passed","2026-07-15","","parseArgs","",""
"","1","applies outbound timeout handling","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","together provider adapter contract","",""
"","1","serializes Java properties safely","Unit | Allure Metadata Writer","2026-07-15","passed","2026-07-15","","","",""
"","76","leaves TLS credentials optional outside production when TLS_ENABLED=true","Unit | Utils | Validate Env Vars","2026-07-15","passed","2026-07-15","","","",""
"","1","returns 202 while a job is still pending","Unit | Controllers | Description Controller","2026-07-15","passed","2026-07-15","","DescriptionController.getDescriptionJob","",""
"","1","runs the custom reviewer through env indirection with the workflow token only","Unit | Scripts | GitHub | Dependency Review Workflow","2026-07-15","passed","2026-07-15","","","",""
"","1","writes workflow_dispatch source-run outputs through the CLI","Unit | Scripts | GitHub | Resolve Pages Source Run","2026-07-15","passed","2026-07-15","","","",""
"","1","starts only the HTTP server when TLS is terminated at the edge","Unit | Server | Start Application Runtime","2026-07-15","passed","2026-07-15","","","",""
"","5","uses the default provider override file path when no env override is set","Unit | Config | Provider Overrides","2026-07-15","passed","2026-07-15","","","",""
"","5","captures Newman and child process diagnostic logs on failure","Unit | Scripts | Postman | Newman Runner","2026-07-15","passed","2026-07-15","","","",""
"","2","validates each redirect before following it","Unit | Infrastructure | Outbound URL Policy","2026-07-15","passed","2026-07-15","","","",""
"","2","groups every update — all types, prod and dev — into one PR per stream","Unit | Dependabot Policy","2026-07-15","passed","2026-07-15","","","",""
"","2","returns ordered descriptions on success","Unit | Controllers | Description Controller","2026-07-15","passed","2026-07-15","","DescriptionController.describePage","",""
"","1","maps generic providers to the shared neutral folder with production env vars","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","getSelectedProviderPlans","",""
"","36","Unversioned scraper alias","alt-text-generator API Contract Harness","2026-07-15","passed","2026-07-15","","07 Route Aliases","",""
"","69","accepts TLS_* credentials in production","Unit | Utils | Validate Env Vars","2026-07-15","passed","2026-07-15","","","",""
"","1","normalizes case and whitespace","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","normalizeProviderScope","",""
"","2","publishes runnable URL-encoded request examples","Unit | Config | Swagger","2026-07-15","passed","2026-07-15","","public examples","",""
"","2","flags an unpinned third-party action with its file and line","Unit | GitHub Action Pin Policy","2026-07-15","passed","2026-07-15","","","",""
"","1","rejects retired check names so stale contexts cannot come back","Unit | Scripts | GitHub | Required Check Policy","2026-07-15","passed","2026-07-15","","","",""
"","1","rejects installation lookups that return no installation id","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-07-15","passed","2026-07-15","","resolveInstallationId","",""
"","1","fails on disallowed licenses only when the blocking flag is set","Unit | Scripts | GitHub | Review Dependencies","2026-07-15","passed","2026-07-15","","license policy","",""
"","4","composes every tier and emits JUnit in the CI lane","Unit | Jest Lane Configs","2026-07-15","passed","2026-07-15","","","",""
"","4","resolves relative image paths to absolute URLs","Unit | Services | Scraper Service","2026-07-15","passed","2026-07-15","","ScraperService.extractImageSources","",""
